"","ID_Buzzard","sex","year","min_age","laying_date"
"1",1,2,2003,8,97
"2",1,2,2001,6,93
"3",1,2,2000,5,98
"4",1,2,1999,4,96
"5",1,2,1998,3,113
"6",1,2,1997,2,98
"7",1,2,1996,1,103
"8",3,1,2003,8,97
"9",3,1,2001,6,93
"10",3,1,2000,5,98
"11",3,1,1999,4,96
"12",3,1,1998,3,113
"13",3,1,1997,2,98
"14",3,1,1996,1,103
"15",6,2,2001,6,92
"16",6,2,2000,5,98
"17",6,2,1999,4,97
"18",6,2,1998,3,169
"19",6,2,1997,2,98
"20",7,1,2008,13,104
"21",7,1,2005,10,98
"22",7,1,2004,9,108
"23",7,1,2004,9,124
"24",7,1,2003,8,108
"25",7,1,2003,8,131
"26",7,1,2001,6,92
"27",7,1,2000,5,98
"28",7,1,1999,4,97
"29",7,1,1998,3,169
"30",7,1,1997,2,98
"31",10,2,2001,6,89
"32",10,2,2000,5,98
"33",10,2,1999,4,91
"34",10,2,1997,2,96
"35",10,2,1996,1,107
"36",10,2,1996,1,96
"37",11,1,1999,4,100
"38",11,1,1998,3,109
"39",11,1,1997,2,96
"40",11,1,1996,1,107
"41",12,1,2015,20,89
"42",12,1,2014,19,95
"43",12,1,2012,17,94
"44",12,1,2011,16,98
"45",12,1,2010,15,93
"46",12,1,2008,13,89
"47",12,1,2007,12,87
"48",12,1,2006,11,95
"49",12,1,2005,10,88
"50",12,1,2004,9,92
"51",12,1,2001,6,89
"52",12,1,1999,4,91
"53",12,1,1996,1,96
"54",13,2,2015,20,94
"55",13,2,2014,19,85
"56",13,2,2013,18,105
"57",13,2,2012,17,92
"58",13,2,2011,16,98
"59",13,2,2008,13,90
"60",13,2,2007,12,92
"61",13,2,2006,11,106
"62",13,2,2006,11,127
"63",13,2,2005,10,83
"64",13,2,2004,9,94
"65",13,2,2003,8,88
"66",13,2,2001,6,78
"67",13,2,2001,6,86
"68",13,2,2000,5,81
"69",13,2,1999,4,100
"70",13,2,1999,4,88
"71",13,2,1998,3,109
"72",13,2,1998,3,85
"73",13,2,1997,2,92
"74",14,1,2001,6,95
"75",14,1,1998,3,85
"76",14,1,1997,2,92
"77",19,2,2008,13,105
"78",19,2,2008,13,112
"79",19,2,2007,12,113
"80",19,2,2006,11,107
"81",19,2,2005,10,94
"82",19,2,2003,8,96
"83",19,2,2001,6,102
"84",19,2,1999,4,99
"85",19,2,1998,3,101
"86",19,2,1997,2,125
"87",20,1,1999,4,99
"88",20,1,1998,3,101
"89",20,1,1997,2,125
"90",24,2,2008,13,91
"91",24,2,2007,12,93
"92",24,2,2006,11,96
"93",24,2,2005,10,92
"94",24,2,2004,9,99
"95",24,2,2003,8,98
"96",24,2,2000,5,87
"97",24,2,1999,4,83
"98",24,2,1996,1,90
"99",25,1,2000,5,87
"100",25,1,1999,4,83
"101",25,1,1996,1,90
"102",26,2,2004,9,104
"103",26,2,2003,8,93
"104",26,2,2001,6,101
"105",26,2,2000,5,108
"106",26,2,1999,4,112
"107",27,1,2015,20,90
"108",27,1,2014,19,88
"109",27,1,2012,17,89
"110",27,1,2011,16,90
"111",27,1,2009,14,98
"112",27,1,2008,13,91
"113",27,1,2007,12,93
"114",27,1,2006,11,96
"115",27,1,2005,10,92
"116",27,1,2004,9,99
"117",27,1,2003,8,98
"118",27,1,2001,6,102
"119",27,1,2000,5,108
"120",27,1,1999,4,112
"121",28,2,2010,15,114
"122",28,2,2009,14,97
"123",28,2,2008,13,99
"124",28,2,2007,12,109
"125",28,2,2005,10,97
"126",28,2,2003,8,107
"127",28,2,2000,5,95
"128",28,2,2000,5,101
"129",29,1,2005,10,97
"130",29,1,2003,8,107
"131",29,1,2000,5,95
"132",29,1,2000,5,101
"133",30,2,1996,1,130
"134",31,1,1996,1,130
"135",32,2,2000,3,112
"136",32,2,1998,1,98
"137",33,1,2001,4,94
"138",33,1,2000,3,112
"139",33,1,1998,1,98
"140",34,2,1996,1,96
"141",35,1,2000,5,94
"142",35,1,2000,5,105
"143",35,1,1999,4,106
"144",35,1,1996,1,96
"145",38,2,2000,5,98
"146",38,2,1997,2,124
"147",39,1,2006,11,105
"148",39,1,2005,10,102
"149",39,1,2000,5,98
"150",39,1,2000,5,98
"151",39,1,1997,2,124
"152",40,2,2015,20,86
"153",40,2,2014,19,82
"154",40,2,2013,18,102
"155",40,2,2012,17,85
"156",40,2,2011,16,87
"157",40,2,2010,15,95
"158",40,2,2008,13,101
"159",40,2,2008,13,120
"160",40,2,2007,12,100
"161",40,2,2006,11,99
"162",40,2,2005,10,96
"163",40,2,2004,9,103
"164",40,2,2003,8,104
"165",40,2,2001,6,87
"166",40,2,2000,5,92
"167",40,2,1997,2,155
"168",40,2,1996,1,117
"169",41,1,2008,13,101
"170",41,1,2007,12,100
"171",41,1,2006,11,99
"172",41,1,2005,10,96
"173",41,1,2004,9,103
"174",41,1,2003,8,104
"175",41,1,2001,6,87
"176",41,1,2000,5,92
"177",41,1,1997,2,155
"178",41,1,1996,1,117
"179",43,2,2000,2,95
"180",43,2,1999,1,86
"181",44,1,2003,5,95
"182",44,1,2001,3,90
"183",44,1,2000,2,95
"184",44,1,2000,2,95
"185",44,1,1999,1,86
"186",45,2,2015,17,81
"187",45,2,2014,16,84
"188",45,2,2013,15,91
"189",45,2,2012,14,86
"190",45,2,2011,13,86
"191",45,2,2010,12,87
"192",45,2,2009,11,87
"193",45,2,2008,10,88
"194",45,2,2007,9,89
"195",45,2,2006,8,90
"196",45,2,2005,7,92
"197",45,2,2004,6,85
"198",45,2,2003,5,88
"199",45,2,2001,3,84
"200",45,2,2000,2,101
"201",45,2,1999,1,107
"202",49,2,1996,1,101
"203",50,1,1996,1,101
"204",51,2,2003,8,91
"205",51,2,2001,6,85
"206",51,2,2001,6,94
"207",51,2,2000,5,90
"208",51,2,1999,4,93
"209",51,2,1998,3,106
"210",51,2,1997,2,91
"211",52,1,2005,10,94
"212",52,1,2004,9,90
"213",52,1,2003,8,91
"214",52,1,2001,6,85
"215",52,1,2001,6,94
"216",52,1,2000,5,90
"217",52,1,1999,4,93
"218",52,1,1998,3,106
"219",52,1,1997,2,91
"220",54,2,1996,1,104
"221",55,1,1996,1,104
"222",56,2,2012,17,96
"223",56,2,2011,16,99
"224",56,2,2008,13,94
"225",56,2,2007,12,94
"226",56,2,2006,11,97
"227",56,2,2005,10,100
"228",56,2,2004,9,114
"229",56,2,2003,8,101
"230",56,2,2001,6,83
"231",56,2,2000,5,96
"232",56,2,1999,4,93
"233",56,2,1998,3,104
"234",56,2,1997,2,88
"235",56,2,1996,1,93
"236",57,1,2012,17,96
"237",57,1,2011,16,95
"238",57,1,2010,15,94
"239",57,1,2009,14,93
"240",57,1,2008,13,94
"241",57,1,2007,12,94
"242",57,1,2006,11,97
"243",57,1,2005,10,100
"244",57,1,2004,9,114
"245",57,1,2003,8,101
"246",57,1,2001,6,83
"247",57,1,2000,5,96
"248",57,1,1999,4,93
"249",57,1,1998,3,104
"250",57,1,1997,2,88
"251",57,1,1996,1,93
"252",58,2,1997,1,110
"253",59,1,2010,14,108
"254",59,1,2009,13,92
"255",59,1,2008,12,95
"256",59,1,2007,11,93
"257",59,1,2005,9,102
"258",59,1,2004,8,101
"259",59,1,2003,7,95
"260",59,1,2001,5,89
"261",59,1,2000,4,107
"262",59,1,1997,1,110
"263",60,2,2005,10,94
"264",60,2,2003,8,100
"265",60,2,2001,6,87
"266",60,2,1999,4,95
"267",60,2,1998,3,118
"268",60,2,1996,1,114
"269",61,1,2009,14,98
"270",61,1,2008,13,96
"271",61,1,2007,12,91
"272",61,1,2005,10,94
"273",61,1,2003,8,100
"274",61,1,2001,6,87
"275",61,1,1999,4,95
"276",61,1,1998,3,118
"277",61,1,1996,1,114
"278",62,2,2010,15,108
"279",62,2,2009,14,92
"280",62,2,2008,13,95
"281",62,2,2007,12,93
"282",62,2,2005,10,102
"283",62,2,2004,9,101
"284",62,2,2003,8,95
"285",62,2,2001,6,89
"286",62,2,2000,5,107
"287",62,2,1999,4,94
"288",62,2,1998,3,111
"289",62,2,1996,1,98
"290",63,1,2015,20,102
"291",63,1,2014,19,89
"292",63,1,2012,17,96
"293",63,1,2011,16,99
"294",63,1,1999,4,94
"295",63,1,1998,3,111
"296",63,1,1996,1,98
"297",68,2,2014,16,85
"298",68,2,2012,14,95
"299",68,2,2011,13,93
"300",68,2,2010,12,101
"301",68,2,2009,11,100
"302",68,2,2008,10,93
"303",68,2,2007,9,89
"304",68,2,2006,8,102
"305",68,2,2005,7,94
"306",68,2,2004,6,110
"307",68,2,2003,5,102
"308",68,2,2001,3,95
"309",68,2,1999,1,92
"310",69,1,2015,17,96
"311",69,1,2014,16,85
"312",69,1,2012,14,95
"313",69,1,2011,13,93
"314",69,1,2010,12,101
"315",69,1,2009,11,100
"316",69,1,2008,10,93
