"","ID_Buzzard","sex","year","min_age","laying_date","max_age","age","Hellmann_winter","NAO_winter","voleMarch","Hellmann_cat","NAO_cat","btw_ind_avg_age","wth_ind_age_cen"
"1",1,2,2003,8,97,8,"old",80.1,0,0,"Medium","Positive",8,0
"2",3,1,2003,8,97,8,"old",80.1,0,0,"Medium","Positive",8,0
"3",6,2,2001,6,92,6,"young",27.7,-0.41,12,"Low","Negative",4,2
"4",6,2,2000,5,98,6,"young",3.6,1.07,10,"Low","Positive",4,1
"5",6,2,1999,4,97,6,"young",47.7,0.38,37,"Low","Positive",4,0
"6",6,2,1998,3,169,6,"young",19.3,-0.14,0,"Low","Negative",4,-1
"7",6,2,1997,2,98,6,"young",131.6,0.14,10,"High","Positive",4,-2
"8",7,1,2008,13,104,13,"old",20.3,0.52,18,"Low","Positive",9.5,3.5
"9",7,1,2005,10,98,13,"old",32.4,0.31,32,"Low","Positive",9.5,0.5
"10",7,1,2004,9,108,13,"old",16.3,0.42,9,"Low","Positive",9.5,-0.5
"11",7,1,2004,9,124,13,"old",16.3,0.42,9,"Low","Positive",9.5,-0.5
"12",7,1,2003,8,108,13,"old",80.1,0,0,"Medium","Positive",9.5,-1.5
"13",7,1,2003,8,131,13,"old",80.1,0,0,"Medium","Positive",9.5,-1.5
"14",10,2,2001,6,89,6,"young",27.7,-0.41,12,"Low","Negative",3.16666666666667,2.83333333333333
"15",10,2,2000,5,98,6,"young",3.6,1.07,10,"Low","Positive",3.16666666666667,1.83333333333333
"16",10,2,1999,4,91,6,"young",47.7,0.38,37,"Low","Positive",3.16666666666667,0.833333333333333
"17",10,2,1997,2,96,6,"young",131.6,0.14,10,"High","Positive",3.16666666666667,-1.16666666666667
"18",10,2,1996,1,107,6,"young",150.5,-0.7,7,"High","Negative",3.16666666666667,-2.16666666666667
"19",10,2,1996,1,96,6,"young",150.5,-0.7,7,"High","Negative",3.16666666666667,-2.16666666666667
"20",11,1,1999,4,100,4,"young",47.7,0.38,37,"Low","Positive",2.5,1.5
"21",11,1,1998,3,109,4,"young",19.3,-0.14,0,"Low","Negative",2.5,0.5
"22",11,1,1997,2,96,4,"young",131.6,0.14,10,"High","Positive",2.5,-0.5
"23",11,1,1996,1,107,4,"young",150.5,-0.7,7,"High","Negative",2.5,-1.5
"24",12,1,2015,20,89,20,"old",7.8,1.42,38,"Low","Positive",14.2,5.8
"25",12,1,2014,19,95,20,"old",0,0.86,21,"Low","Positive",14.2,4.8
"26",12,1,2012,17,94,20,"old",88.4,1.35,22,"Medium","Positive",14.2,2.8
"27",12,1,2011,16,98,20,"old",80.6,-0.61,0,"Medium","Negative",14.2,1.8
"28",12,1,2010,15,93,20,"old",94.7,-1.18,28,"Medium","Negative",14.2,0.800000000000001
"29",12,1,2008,13,89,20,"old",20.3,0.52,18,"Low","Positive",14.2,-1.2
"30",12,1,2007,12,87,20,"old",4.8,0.59,36,"Low","Positive",14.2,-2.2
"31",12,1,2006,11,95,20,"old",31.5,-0.25,0,"Low","Negative",14.2,-3.2
"32",12,1,2005,10,88,20,"old",32.4,0.31,32,"Low","Positive",14.2,-4.2
"33",12,1,2004,9,92,20,"old",16.3,0.42,9,"Low","Positive",14.2,-5.2
"34",13,2,2015,20,94,20,"old",7.8,1.42,38,"Low","Positive",13.6666666666667,6.33333333333333
"35",13,2,2014,19,85,20,"old",0,0.86,21,"Low","Positive",13.6666666666667,5.33333333333333
"36",13,2,2013,18,105,20,"old",73.2,-0.42,1,"Medium","Negative",13.6666666666667,4.33333333333333
"37",13,2,2012,17,92,20,"old",88.4,1.35,22,"Medium","Positive",13.6666666666667,3.33333333333333
"38",13,2,2011,16,98,20,"old",80.6,-0.61,0,"Medium","Negative",13.6666666666667,2.33333333333333
"39",13,2,2008,13,90,20,"old",20.3,0.52,18,"Low","Positive",13.6666666666667,-0.666666666666666
"40",13,2,2007,12,92,20,"old",4.8,0.59,36,"Low","Positive",13.6666666666667,-1.66666666666667
"41",13,2,2006,11,106,20,"old",31.5,-0.25,0,"Low","Negative",13.6666666666667,-2.66666666666667
"42",13,2,2006,11,127,20,"old",31.5,-0.25,0,"Low","Negative",13.6666666666667,-2.66666666666667
"43",13,2,2005,10,83,20,"old",32.4,0.31,32,"Low","Positive",13.6666666666667,-3.66666666666667
"44",13,2,2004,9,94,20,"old",16.3,0.42,9,"Low","Positive",13.6666666666667,-4.66666666666667
"45",13,2,2003,8,88,20,"old",80.1,0,0,"Medium","Positive",13.6666666666667,-5.66666666666667
"46",14,1,2001,6,95,6,"young",27.7,-0.41,12,"Low","Negative",3.66666666666667,2.33333333333333
"47",14,1,1998,3,85,6,"young",19.3,-0.14,0,"Low","Negative",3.66666666666667,-0.666666666666667
"48",14,1,1997,2,92,6,"young",131.6,0.14,10,"High","Positive",3.66666666666667,-1.66666666666667
"49",19,2,2008,13,105,13,"old",20.3,0.52,18,"Low","Positive",11.1666666666667,1.83333333333333
"50",19,2,2008,13,112,13,"old",20.3,0.52,18,"Low","Positive",11.1666666666667,1.83333333333333
"51",19,2,2007,12,113,13,"old",4.8,0.59,36,"Low","Positive",11.1666666666667,0.833333333333334
"52",19,2,2006,11,107,13,"old",31.5,-0.25,0,"Low","Negative",11.1666666666667,-0.166666666666666
"53",19,2,2005,10,94,13,"old",32.4,0.31,32,"Low","Positive",11.1666666666667,-1.16666666666667
"54",19,2,2003,8,96,13,"old",80.1,0,0,"Medium","Positive",11.1666666666667,-3.16666666666667
"55",20,1,1999,4,99,4,"young",47.7,0.38,37,"Low","Positive",3,1
"56",20,1,1998,3,101,4,"young",19.3,-0.14,0,"Low","Negative",3,0
"57",20,1,1997,2,125,4,"young",131.6,0.14,10,"High","Positive",3,-1
"58",24,2,2008,13,91,13,"old",20.3,0.52,18,"Low","Positive",10.5,2.5
